data_hora;velocidade_download;velocidade_upload;ping;latencia;enviados;recebidos;nome_componente;id_maquina;hostname;razao_social
10:02:10;769.329;78.323;21.243;106.215;1.358.854;1.358.854;REDE;1;notebook-ritinha;ViaMobilidade
10:03:25;838.873;761.645;21.243;106.215;1.474.004;1.474.004;REDE;1;notebook-ritinha;ViaMobilidade
10:04:44;645.098;564.425;21.243;106.215;1.055.559;1.055.559;REDE;1;notebook-ritinha;ViaMobilidade
10:06:02;662.734;491.957;21.243;106.215;1.017.661;1.017.661;REDE;1;notebook-ritinha;ViaMobilidade
10:07:15;831.673;810.136;21.243;106.215;1.634.657;1.634.657;REDE;1;notebook-ritinha;ViaMobilidade
10:08:30;831.678;78.382;21.243;106.215;1.538.795;1.538.795;REDE;1;notebook-ritinha;ViaMobilidade
10:09:43;837.985;812.995;21.243;106.215;1.748.756;1.748.756;REDE;1;notebook-ritinha;ViaMobilidade
10:10:58;847.047;806.292;21.243;106.215;1.699.493;1.699.493;REDE;1;notebook-ritinha;ViaMobilidade
10:12:11;769.642;804.962;21.243;106.215;1.457.954;1.457.954;REDE;1;notebook-ritinha;ViaMobilidade
10:13:25;816.132;64.072;21.243;106.215;1.345.417;1.345.417;REDE;1;notebook-ritinha;ViaMobilidade
10:14:38;828.153;797.435;21.243;106.215;1.540.839;1.540.839;REDE;1;notebook-ritinha;ViaMobilidade
10:15:51;837.035;795.705;21.243;106.215;1.609.801;1.609.801;REDE;1;notebook-ritinha;ViaMobilidade
12:56:16;789.324;7.699;22.555;112.775;1.737.708;1.737.708;REDE;1;notebook-ritinha;ViaMobilidade
12:57:21;806.375;769.771;22.555;112.775;1.539.112;1.539.112;REDE;1;notebook-ritinha;ViaMobilidade
20:02:48;16.771.623;9.088.848;19.199;95.995;116.402;116.402;REDE;1;notebook-ritinha;ViaMobilidade
20:03:39;16.519.171;8.967.935;19.199;95.995;11.586.505;11.586.505;REDE;1;notebook-ritinha;ViaMobilidade
20:04:31;1.801.655;8.777.718;19.199;95.995;11.392.712;11.392.712;REDE;1;notebook-ritinha;ViaMobilidade
20:05:19;20.475.247;8.931.973;19.199;95.995;11.682.696;11.682.696;REDE;1;notebook-ritinha;ViaMobilidade
20:06:07;18.955.966;9.027.881;19.199;95.995;11.692.519;11.692.519;REDE;1;notebook-ritinha;ViaMobilidade
20:06:55;1.932.915;9.048.858;19.199;95.995;11.747.266;11.747.266;REDE;1;notebook-ritinha;ViaMobilidade
20:07:42;19.422.678;89.532;19.199;95.995;11.631.795;11.631.795;REDE;1;notebook-ritinha;ViaMobilidade
20:08:30;14.257.148;8.884.777;19.199;95.995;1.131.886;1.131.886;REDE;1;notebook-ritinha;ViaMobilidade
20:09:17;15.093.209;8.958.435;19.199;95.995;11.431.329;11.431.329;REDE;1;notebook-ritinha;ViaMobilidade
20:10:05;19.768.638;8.949.001;19.199;95.995;1.162.062;1.162.062;REDE;1;notebook-ritinha;ViaMobilidade
20:10:51;18.291.846;903.833;19.199;95.995;11.653.826;11.653.826;REDE;1;notebook-ritinha;ViaMobilidade
20:11:40;18.767.211;8.847.316;19.199;95.995;11.456.331;11.456.331;REDE;1;notebook-ritinha;ViaMobilidade
20:12:30;18.814.148;8.765.464;19.199;95.995;11.404.736;11.404.736;REDE;1;notebook-ritinha;ViaMobilidade
20:13:19;18.756.156;8.039.147;19.199;95.995;10.524.825;10.524.825;REDE;1;notebook-ritinha;ViaMobilidade
20:14:08;17.696.693;9.009.323;19.199;95.995;1.159.423;1.159.423;REDE;1;notebook-ritinha;ViaMobilidade
20:14:58;19.245.883;8.890.045;19.199;95.995;11.570.061;11.570.061;REDE;1;notebook-ritinha;ViaMobilidade
20:15:46;19.648.102;8.800.289;19.199;95.995;11.483.726;11.483.726;REDE;1;notebook-ritinha;ViaMobilidade
20:16:36;17.166.011;9.071.048;19.199;95.995;11.712.746;11.712.746;REDE;1;notebook-ritinha;ViaMobilidade
20:17:25;194.531;9.041.243;19.199;95.995;11.693.494;11.693.494;REDE;1;notebook-ritinha;ViaMobilidade
20:18:14;18.950.755;8.441.836;19.199;95.995;1.111.742;1.111.742;REDE;1;notebook-ritinha;ViaMobilidade
20:19:04;16.108.272;9.054.139;19.199;95.995;11.606.279;11.606.279;REDE;1;notebook-ritinha;ViaMobilidade
20:19:53;18.959.179;8.901.005;19.199;95.995;11.576.704;11.576.704;REDE;1;notebook-ritinha;ViaMobilidade
20:20:42;18.589.933;87.921;19.199;95.995;11.397.777;11.397.777;REDE;1;notebook-ritinha;ViaMobilidade
20:21:33;19.596.332;8.716.642;19.199;95.995;11.354.022;11.354.022;REDE;1;notebook-ritinha;ViaMobilidade
20:22:24;17.742.733;8.928.149;19.199;95.995;11.548.553;11.548.553;REDE;1;notebook-ritinha;ViaMobilidade
20:23:13;12.691.865;5.415.057;19.199;95.995;7.078.956;7.078.956;REDE;1;notebook-ritinha;ViaMobilidade
20:24:03;12.657.001;4.812.926;19.199;95.995;6.429.547;6.429.547;REDE;1;notebook-ritinha;ViaMobilidade
20:24:57;13.920.758;8.107.275;19.199;95.995;10.357.785;10.357.785;REDE;1;notebook-ritinha;ViaMobilidade
